country,province,date,day_since100,case_cnt,death_cnt,new_hospitalization,total_hospitalization,new_icu,total_icu,new_recovered,total_recovered,people_vaccinated,people_fully_vaccinated,daily_vaccinations
Afghanistan,,2020-01-22,-66,0,0,,,,,,,,,
Afghanistan,,2020-01-23,-65,0,0,,,,,,,,,
Afghanistan,,2020-01-24,-64,0,0,,,,,,,,,
Afghanistan,,2020-01-25,-63,0,0,,,,,,,,,
Afghanistan,,2020-01-26,-62,0,0,,,,,,,,,
Afghanistan,,2020-01-27,-61,0,0,,,,,,,,,
Afghanistan,,2020-01-28,-60,0,0,,,,,,,,,
Afghanistan,,2020-01-29,-59,0,0,,,,,,,,,
Afghanistan,,2020-01-30,-58,0,0,,,,,,,,,
Afghanistan,,2020-01-31,-57,0,0,,,,,,,,,
Afghanistan,,2020-02-01,-56,0,0,,,,,,,,,
Afghanistan,,2020-02-02,-55,0,0,,,,,,,,,
Afghanistan,,2020-02-03,-54,0,0,,,,,,,,,
Afghanistan,,2020-02-04,-53,0,0,,,,,,,,,
Afghanistan,,2020-02-05,-52,0,0,,,,,,,,,
Afghanistan,,2020-02-06,-51,0,0,,,,,,,,,
Afghanistan,,2020-02-07,-50,0,0,,,,,,,,,
Afghanistan,,2020-02-08,-49,0,0,,,,,,,,,
Afghanistan,,2020-02-09,-48,0,0,,,,,,,,,
Afghanistan,,2020-02-10,-47,0,0,,,,,,,,,
Afghanistan,,2020-02-11,-46,0,0,,,,,,,,,
Afghanistan,,2020-02-12,-45,0,0,,,,,,,,,
Afghanistan,,2020-02-13,-44,0,0,,,,,,,,,
Afghanistan,,2020-02-14,-43,0,0,,,,,,,,,
Afghanistan,,2020-02-15,-42,0,0,,,,,,,,,
Afghanistan,,2020-02-16,-41,0,0,,,,,,,,,
Afghanistan,,2020-02-17,-40,0,0,,,,,,,,,
Afghanistan,,2020-02-18,-39,0,0,,,,,,,,,
Afghanistan,,2020-02-19,-38,0,0,,,,,,,,,
Afghanistan,,2020-02-20,-37,0,0,,,,,,,,,
Afghanistan,,2020-02-21,-36,0,0,,,,,,,,,
Afghanistan,,2020-02-22,-35,0,0,,,,,,,,,
Afghanistan,,2020-02-23,-34,0,0,,,,,,,,,
Afghanistan,,2020-02-24,-33,5,0,,,,,,,,,
Afghanistan,,2020-02-25,-32,5,0,,,,,,,,,
Afghanistan,,2020-02-26,-31,5,0,,,,,,,,,
Afghanistan,,2020-02-27,-30,5,0,,,,,,,,,
Afghanistan,,2020-02-28,-29,5,0,,,,,,,,,
Afghanistan,,2020-02-29,-28,5,0,,,,,,,,,
Afghanistan,,2020-03-01,-27,5,0,,,,,,,,,
Afghanistan,,2020-03-02,-26,5,0,,,,,,,,,
Afghanistan,,2020-03-03,-25,5,0,,,,,,,,,
Afghanistan,,2020-03-04,-24,5,0,,,,,,,,,
Afghanistan,,2020-03-05,-23,5,0,,,,,,,,,
Afghanistan,,2020-03-06,-22,5,0,,,,,,,,,
Afghanistan,,2020-03-07,-21,8,0,,,,,,,,,
Afghanistan,,2020-03-08,-20,8,0,,,,,,,,,
Afghanistan,,2020-03-09,-19,8,0,,,,,,,,,
Afghanistan,,2020-03-10,-18,8,0,,,,,,,,,
Afghanistan,,2020-03-11,-17,11,0,,,,,,,,,
Afghanistan,,2020-03-12,-16,11,0,,,,,,,,,
Afghanistan,,2020-03-13,-15,11,0,,,,,,,,,
Afghanistan,,2020-03-14,-14,14,0,,,,,,,,,
Afghanistan,,2020-03-15,-13,20,0,,,,,,,,,
Afghanistan,,2020-03-16,-12,25,0,,,,,,,,,
Afghanistan,,2020-03-17,-11,26,0,,,,,,,,,
Afghanistan,,2020-03-18,-10,26,0,,,,,,,,,
Afghanistan,,2020-03-19,-9,26,0,,,,,,,,,
Afghanistan,,2020-03-20,-8,24,0,,,,,,,,,
Afghanistan,,2020-03-21,-7,24,0,,,,,,,,,
Afghanistan,,2020-03-22,-6,34,0,,,,,,,,,
Afghanistan,,2020-03-23,-5,40,1,,,,,,,,,
Afghanistan,,2020-03-24,-4,42,1,,,,,,,,,
Afghanistan,,2020-03-25,-3,74,1,,,,,,,,,
Afghanistan,,2020-03-26,-2,80,2,,,,,,,,,
Afghanistan,,2020-03-27,-1,91,2,,,,,,,,,
Afghanistan,,2020-03-28,0,106,2,,,,,,,,,
Afghanistan,,2020-03-29,1,114,4,,,,,,,,,
Afghanistan,,2020-03-30,2,114,4,,,,,,,,,
Afghanistan,,2020-03-31,3,166,4,,,,,,,,,
Afghanistan,,2020-04-01,4,192,4,,,,,,,,,
Afghanistan,,2020-04-02,5,235,4,,,,,,,,,
Afghanistan,,2020-04-03,6,269,5,,,,,,,,,
Afghanistan,,2020-04-04,7,270,5,,,,,,,,,
Afghanistan,,2020-04-05,8,299,7,,,,,,,,,
Afghanistan,,2020-04-06,9,337,7,,,,,,,,,
Afghanistan,,2020-04-07,10,367,11,,,,,,,,,
Afghanistan,,2020-04-08,11,423,14,,,,,,,,,
Afghanistan,,2020-04-09,12,444,15,,,,,,,,,
Afghanistan,,2020-04-10,13,521,15,,,,,,,,,
Afghanistan,,2020-04-11,14,521,15,,,,,,,,,
Afghanistan,,2020-04-12,15,555,18,,,,,,,,,
Afghanistan,,2020-04-13,16,607,19,,,,,,,,,
Afghanistan,,2020-04-14,17,665,22,,,,,,,,,
Afghanistan,,2020-04-15,18,770,25,,,,,,,,,
Afghanistan,,2020-04-16,19,794,29,,,,,,,,,
Afghanistan,,2020-04-17,20,845,30,,,,,,,,,
