country,province,date,day_since100,case_cnt,death_cnt,new_hospitalization,total_hospitalization,new_icu,total_icu,new_recovered,total_recovered,people_vaccinated,people_fully_vaccinated,daily_vaccinations
US,,2020-01-22,-42,1,0,,,,,,,,,
US,,2020-01-23,-41,1,0,,,,,,,,,
US,,2020-01-24,-40,2,0,,,,,,,,,
US,,2020-01-25,-39,2,0,,,,,,,,,
US,,2020-01-26,-38,5,0,,,,,,,,,
US,,2020-01-27,-37,5,0,,,,,,,,,
US,,2020-01-28,-36,5,0,,,,,,,,,
US,,2020-01-29,-35,6,0,,,,,,,,,
US,,2020-01-30,-34,6,0,,,,,,,,,
US,,2020-01-31,-33,8,0,,,,,,,,,
US,,2020-02-01,-32,8,0,,,,,,,,,
US,,2020-02-02,-31,8,0,,,,,,,,,
US,,2020-02-03,-30,11,0,,,,,,,,,
US,,2020-02-04,-29,11,0,,,,,,,,,
US,,2020-02-05,-28,11,0,,,,,,,,,
US,,2020-02-06,-27,12,0,,,,,,,,,
US,,2020-02-07,-26,12,0,,,,,,,,,
US,,2020-02-08,-25,12,0,,,,,,,,,
US,,2020-02-09,-24,12,0,,,,,,,,,
US,,2020-02-10,-23,12,0,,,,,,,,,
US,,2020-02-11,-22,13,0,,,,,,,,,
US,,2020-02-12,-21,13,0,,,,,,,,,
US,,2020-02-13,-20,14,0,,,,,,,,,
US,,2020-02-14,-19,14,0,,,,,,,,,
US,,2020-02-15,-18,14,0,,,,,,,,,
US,,2020-02-16,-17,14,0,,,,,,,,,
US,,2020-02-17,-16,14,0,,,,,,,,,
US,,2020-02-18,-15,14,0,,,,,,,,,
US,,2020-02-19,-14,14,0,,,,,,,,,
US,,2020-02-20,-13,14,0,,,,,,,,,
US,,2020-02-21,-12,16,0,,,,,,,,,
US,,2020-02-22,-11,16,0,,,,,,,,,
US,,2020-02-23,-10,16,0,,,,,,,,,
US,,2020-02-24,-9,16,0,,,,,,,,,
US,,2020-02-25,-8,16,0,,,,,,,,,
US,,2020-02-26,-7,16,0,,,,,,,,,
US,,2020-02-27,-6,17,0,,,,,,,,,
US,,2020-02-28,-5,17,0,,,,,,,,,
US,,2020-02-29,-4,25,1,,,,,,,,,
US,,2020-03-01,-3,32,1,,,,,,,,,
US,,2020-03-02,-2,55,6,,,,,,,,,
US,,2020-03-03,-1,74,7,,,,,,,,,
US,,2020-03-04,0,107,11,,,,,,,,,
US,,2020-03-05,1,184,12,,,,,,,,,
US,,2020-03-06,2,237,14,,,,,,,,,
US,,2020-03-07,3,403,17,,,,,,,,,
US,,2020-03-08,4,519,21,,,,,,,,,
US,,2020-03-09,5,594,22,,,,,,,,,
US,,2020-03-10,6,782,28,,,,,,,,,
US,,2020-03-11,7,1147,33,,,,,,,,,
US,,2020-03-12,8,1586,43,,,,,,,,,
US,,2020-03-13,9,2219,51,,,,,,,,,
US,,2020-03-14,10,2978,58,,,,,,,,,
US,,2020-03-15,11,3212,70,,,,,,,,,
US,,2020-03-16,12,4679,97,,,,,,,,,
US,,2020-03-17,13,6512,134,,,,,,,,,
US,,2020-03-18,14,9169,194,,,,,,,,,
US,,2020-03-19,15,13663,266,,,,,,,,,
US,,2020-03-20,16,20030,372,,,,,,,,,
US,,2020-03-21,17,26025,475,,,,,,,,,
US,,2020-03-22,18,34944,603,,,,,,,,,
US,,2020-03-23,19,46096,790,,,,,,,,,
US,,2020-03-24,20,56714,1033,,,,,,,,,
US,,2020-03-25,21,68841,1366,,,,,,,,,
US,,2020-03-26,22,86662,1783,,,,,,,,,
US,,2020-03-27,23,105253,2305,,,,,,,,,
US,,2020-03-28,24,127417,3018,,,,,,,,,
US,,2020-03-29,25,143544,3573,,,,,,,,,
US,,2020-03-30,26,165698,4280,,,,,,,,,
US,,2020-03-31,27,192079,5359,,,,,,,,,
US,,2020-04-01,28,227903,6996,,,,,,,,,
US,,2020-04-02,29,260183,8556,,,,,,,,,
US,,2020-04-03,30,292630,9985,,,,,,,,,
US,,2020-04-04,31,324340,11605,,,,,,,,,
US,,2020-04-05,32,353117,13227,,,,,,,,,
US,,2020-04-06,33,385110,14989,,,,,,,,,
US,,2020-04-07,34,415256,17595,,,,,,,,,
US,,2020-04-08,35,446500,19747,,,,,,,,,
US,,2020-04-09,36,482526,22003,,,,,,,,,
US,,2020-04-10,37,516707,24217,,,,,,,,,
US,,2020-04-11,38,545693,26320,,,,,,,,,
US,,2020-04-12,39,571551,28203,,,,,,,,,
US,,2020-04-13,40,598794,30204,,,,,,,,,
US,,2020-04-14,41,627306,32685,,,,,,,,,
US,,2020-04-15,42,653669,35309,,,,,,,,,
US,,2020-04-16,43,683351,37496,,,,,,,,,
US,,2020-04-17,44,716508,39600,,,,,,,,,
US,,2020-04-18,45,743857,41543,,,,,,,,,
US,,2020-04-19,46,768888,43510,,,,,,,,,
US,,2020-04-20,47,799531,45795,,,,,,,,,
US,,2020-04-21,48,825478,48246,,,,,,,,,
US,,2020-04-22,49,855445,50712,,,,,,,,,
US,,2020-04-23,50,887523,53138,,,,,,,,,
US,,2020-04-24,51,919014,55201,,,,,,,,,
US,,2020-04-25,52,949640,56940,,,,,,,,,
US,,2020-04-26,53,975537,58354,,,,,,,,,
US,,2020-04-27,54,1000230,59840,,,,,,,,,
US,,2020-04-28,55,1024834,62074,,,,,,,,,
US,,2020-04-29,56,1051643,64448,,,,,,,,,
US,,2020-04-30,57,1081150,66638,,,,,,,,,
US,,2020-05-01,58,1115972,68518,,,,,,,,,
US,,2020-05-02,59,1142619,70291,,,,,,,,,
US,,2020-05-03,60,1166189,71492,,,,,,,,,
US,,2020-05-04,61,1190240,72862,,,,,,,,,
US,,2020-05-05,62,1214321,75041,,,,,,,,,
US,,2020-05-06,63,1238694,77359,,,,,,,,,
US,,2020-05-07,64,1266904,79262,,,,,,,,,
US,,2020-05-08,65,1294111,81033,,,,,,,,,
US,,2020-05-09,66,1318358,82504,,,,,,,,,
US,,2020-05-10,67,1337061,83505,,,,,,,,,
US,,2020-05-11,68,1356283,84531,,,,,,,,,
US,,2020-05-12,69,1379661,86119,,,,,,,,,
US,,2020-05-13,70,1399662,87814,,,,,,,,,
US,,2020-05-14,71,1425539,89581,,,,,,,,,
US,,2020-05-15,72,1449938,91205,,,,,,,,,
US,,2020-05-16,73,1473806,92374,,,,,,,,,
US,,2020-05-17,74,1492449,93191,,,,,,,,,
US,,2020-05-18,75,1514833,94413,,,,,,,,,
US,,2020-05-19,76,1535591,95840,,,,,,,,,
US,,2020-05-20,77,1558430,97310,,,,,,,,,
US,,2020-05-21,78,1583542,98491,,,,,,,,,
US,,2020-05-22,79,1607464,99695,,,,,,,,,
US,,2020-05-23,80,1627392,100774,,,,,,,,,
US,,2020-05-24,81,1647513,101410,,,,,,,,,
US,,2020-05-25,82,1666699,102010,,,,,,,,,
US,,2020-05-26,83,1685395,102664,,,,,,,,,
US,,2020-05-27,84,1704200,104116,,,,,,,,,
US,,2020-05-28,85,1725329,105181,,,,,,,,,
US,,2020-05-29,86,1750066,106290,,,,,,,,,
US,,2020-05-30,87,1772783,107236,,,,,,,,,
US,,2020-05-31,88,1791547,107857,,,,,,,,,
US,,2020-06-01,89,1809384,108624,,,,,,,,,
US,,2020-06-02,90,1829340,109603,,,,,,,,,
US,,2020-06-03,91,1848388,110603,,,,,,,,,
US,,2020-06-04,92,1876099,111601,,,,,,,,,
US,,2020-06-05,93,1902280,112471,,,,,,,,,
US,,2020-06-06,94,1922433,113109,,,,,,,,,
US,,2020-06-07,95,1940242,113569,,,,,,,,,
US,,2020-06-08,96,1957154,114071,,,,,,,,,
US,,2020-06-09,97,1977478,114980,,,,,,,,,
US,,2020-06-10,98,1999224,115836,,,,,,,,,
US,,2020-06-11,99,2021527,116644,,,,,,,,,
US,,2020-06-12,100,2047082,117466,,,,,,,,,
US,,2020-06-13,101,2071218,118174,,,,,,,,,
US,,2020-06-14,102,2090171,118522,,,,,,,,,
US,,2020-06-15,103,2111266,118920,,,,,,,,,
US,,2020-06-16,104,2135894,119695,,,,,,,,,
US,,2020-06-17,105,2162973,120436,,,,,,,,,
US,,2020-06-18,106,2191211,121132,,,,,,,,,
US,,2020-06-19,107,2222207,121760,,,,,,,,,
US,,2020-06-20,108,2254073,122323,,,,,,,,,
US,,2020-06-21,109,2279932,122642,,,,,,,,,
US,,2020-06-22,110,2309921,123021,,,,,,,,,
US,,2020-06-23,111,2348750,123752,,,,,,,,,
US,,2020-06-24,112,2385029,124507,,,,,,,,,
US,,2020-06-25,113,2424386,125058,,,,,,,,,
US,,2020-06-26,114,2473472,125687,,,,,,,,,
US,,2020-06-27,115,2514305,126186,,,,,,,,,
US,,2020-06-28,116,2557223,126512,,,,,,,,,
US,,2020-06-29,117,2598741,126881,,,,,,,,,
US,,2020-06-30,118,2648797,127432,,,,,,,,,
US,,2020-07-01,119,2698127,128134,,,,,,,,,
US,,2020-07-02,120,2753211,128883,,,,,,,,,
US,,2020-07-03,121,2804869,129559,,,,,,,,,
US,,2020-07-04,122,2850893,129867,,,,,,,,,
US,,2020-07-05,123,2904843,130201,,,,,,,,,
US,,2020-07-06,124,2948475,130575,,,,,,,,,
US,,2020-07-07,125,3005888,131719,,,,,,,,,
US,,2020-07-08,126,3066392,132562,,,,,,,,,
US,,2020-07-09,127,3126224,133601,,,,,,,,,
US,,2020-07-10,128,3194746,134402,,,,,,,,,
US,,2020-07-11,129,3255187,135167,,,,,,,,,
US,,2020-07-12,130,3315407,135632,,,,,,,,,
