region,t0,policy_before,policy_after,severity_change,direction
Afghanistan__None,2020-03-18,Mass_Gatherings_Authorized_But_Others_Restricted,Restrict_Mass_Gatherings_and_Schools_and_Others,3,tightening
Albania__None,2020-03-09,Mass_Gatherings_Authorized_But_Others_Restricted,Restrict_Mass_Gatherings_and_Schools_and_Others,3,tightening
Albania__None,2020-03-13,Restrict_Mass_Gatherings_and_Schools_and_Others,Lockdown,1,tightening
Albania__None,2020-06-01,Lockdown,Restrict_Mass_Gatherings_and_Schools_and_Others,-1,relaxing
Algeria__None,2020-03-10,Mass_Gatherings_Authorized_But_Others_Restricted,Authorize_Schools_but_Restrict_Mass_Gatherings_and_Others,2,tightening
Algeria__None,2020-03-12,Authorize_Schools_but_Restrict_Mass_Gatherings_and_Others,Restrict_Mass_Gatherings_and_Schools_and_Others,1,tightening
Andorra__None,2020-03-14,No_Measure,Mass_Gatherings_Authorized_But_Others_Restricted,2,tightening
Andorra__None,2020-07-07,Mass_Gatherings_Authorized_But_Others_Restricted,Authorize_Schools_but_Restrict_Mass_Gatherings_and_Others,2,tightening
Angola__None,2020-03-24,Mass_Gatherings_Authorized_But_Others_Restricted,Restrict_Mass_Gatherings_and_Schools_and_Others,3,tightening
Angola__None,2020-03-27,Restrict_Mass_Gatherings_and_Schools_and_Others,Lockdown,1,tightening
Angola__None,2020-05-26,Lockdown,Restrict_Mass_Gatherings_and_Schools_and_Others,-1,relaxing
Argentina__None,2020-03-19,Mass_Gatherings_Authorized_But_Others_Restricted,Lockdown,4,tightening
Argentina__None,2020-06-05,Lockdown,Restrict_Mass_Gatherings_and_Schools_and_Others,-1,relaxing
Australia__Australian_Capital_Territory,2020-03-16,Mass_Gatherings_Authorized_But_Others_Restricted,Authorize_Schools_but_Restrict_Mass_Gatherings_and_Others,2,tightening
Australia__Australian_Capital_Territory,2020-06-12,Authorize_Schools_but_Restrict_Mass_Gatherings_and_Others,Mass_Gatherings_Authorized_But_Others_Restricted,-2,relaxing
Australia__New_South_Wales,2020-03-16,Mass_Gatherings_Authorized_But_Others_Restricted,Authorize_Schools_but_Restrict_Mass_Gatherings_and_Others,2,tightening
Australia__New_South_Wales,2020-06-12,Authorize_Schools_but_Restrict_Mass_Gatherings_and_Others,Mass_Gatherings_Authorized_But_Others_Restricted,-2,relaxing
Australia__Queensland,2020-03-16,Mass_Gatherings_Authorized_But_Others_Restricted,Authorize_Schools_but_Restrict_Mass_Gatherings_and_Others,2,tightening
Australia__Queensland,2020-06-12,Authorize_Schools_but_Restrict_Mass_Gatherings_and_Others,Mass_Gatherings_Authorized_But_Others_Restricted,-2,relaxing
Australia__South_Australia,2020-03-16,Mass_Gatherings_Authorized_But_Others_Restricted,Authorize_Schools_but_Restrict_Mass_Gatherings_and_Others,2,tightening
Australia__South_Australia,2020-06-12,Authorize_Schools_but_Restrict_Mass_Gatherings_and_Others,Mass_Gatherings_Authorized_But_Others_Restricted,-2,relaxing
Australia__Tasmania,2020-03-16,Mass_Gatherings_Authorized_But_Others_Restricted,Authorize_Schools_but_Restrict_Mass_Gatherings_and_Others,2,tightening
Australia__Tasmania,2020-06-12,Authorize_Schools_but_Restrict_Mass_Gatherings_and_Others,Mass_Gatherings_Authorized_But_Others_Restricted,-2,relaxing
Australia__Victoria,2020-03-16,Mass_Gatherings_Authorized_But_Others_Restricted,Authorize_Schools_but_Restrict_Mass_Gatherings_and_Others,2,tightening
